Name,Attributes,n,n1,n2,δ
Wiktionary edits (dv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1361,197,1164,12
Wiktionary edits (tpi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1057,195,862,14
Wiktionary edits (ss),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1540,231,1309,11
Wikibooks edits (et),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1447,201,1246,14
Wikibooks edits (eu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1197,189,1008,13
Wikiquote edits (ku),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1333,219,1114,13
Wikibooks edits (hy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1956,242,1714,11
Wiktionary edits (iu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1152,183,969,14
Wiktionary edits (ln),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1449,176,1273,14
Wikiquote edits (lt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1983,221,1762,14
Hamsterster friendships,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",1858,,,14
Wikiquote edits (li),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2869,207,2662,12
Erdős,"['Coauthorship network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is the join of an underlying network', 'Does not have multiple edges but the underlying data has', 'Only the largest connected component of the original data is included']",6927,,,4
Wikiquote edits (zh-min-nan)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3172,193,2979,12
Wikiquote edits (eu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1380,242,1138,11
Wiktionary edits (su),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1499,181,1318,12
Wikiquote edits (pa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1113,172,941,7
Wikiquote edits (is),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1490,230,1260,13
Wikiquote edits (la),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1681,268,1413,13
Wikibooks edits (ms),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2102,223,1879,11
Hamsterster friends,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",2952,,,14
Wikibooks edits (tl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2341,302,2039,14
Route views,"['Computer network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops', 'Is not directed but the underlying data is']",6474,,,9
Wikiquote edits (sah),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1832,315,1517,13
Wikipedia edits (ady),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1254,209,1045,8
Wikipedia edits (atj),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",655,83,572,6
Wikibooks edits (hi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3189,299,2890,15
Wikibooks edits (si),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3427,219,3208,13
Wikiquote edits (li)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3437,206,3231,11
Wiktionary edits (om),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1124,177,947,14
Wiktionary edits (qu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1689,194,1495,14
Wikipedia edits (ks),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2134,567,1567,15
Wiktionary edits (rw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1321,175,1146,18
DNC co-recipients,"['Online contact network', 'Unipartite undirected', 'Unweighted multiple edges', 'Is a snapshot and likely to not contain all data', 'Is the join of an underlying network']",2029,,,8
Wiktionary edits (gn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2678,204,2474,17
Wiktionary edits (kw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1245,186,1059,13
Hamsterster full,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",2426,,,10
Wikibooks edits (bg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2271,392,1879,14
Adolescent health,"['Human social network', 'Unipartite directed', 'Positive weights no multiple edges']",2539,,,10
Wikipedia edits (mo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1643,167,1476,10
Wiktionary edits (na),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1717,185,1532,13
Wikipedia edits (kbp),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1587,54,1533,6
Wikibooks edits (ne),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2504,555,1949,12
Wikiquote edits (et),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1822,310,1512,14
Wiktionary edits (zu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1624,214,1410,14
Wiktionary edits (ay),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1958,220,1738,15
Wikiquote edits (bs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3347,263,3084,15
Wikinews edits (sq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2511,200,2311,12
Wikibooks edits (sr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3308,331,2977,15
Blogs,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1224,,,8
Wiktionary edits (gv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1530,187,1343,17
Wiktionary edits (jbo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1774,193,1581,14
LiquidFeedback (issues),"['Online contact network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",1271,,,9
Wikiquote edits (sr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2277,402,1875,11
Wikiversity edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2888,492,2396,12
Wiktionary edits (ie),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2379,211,2168,15
Wiktionary edits (roa-rup),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2137,174,1963,14
Wiktionary edits (mi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2262,207,2055,15
Wikibooks edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2250,409,1841,14
LiquidFeedback (areas),"['Online contact network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",1414,,,11
Wikiquote edits (da),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2355,402,1953,13
Wikibooks edits (sk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2586,403,2183,10
Wikipedia edits (tw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2493,632,1861,14
Gnutella (08),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",6301,,,9
Wiktionary edits (yi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2848,310,2538,13
Prosper groups,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",7595,6582,1013,10
Sister cities,"['Miscellaneous network', 'Unipartite undirected', 'Unweighted no multiple edges']",14274,,,25
Wikiquote edits (bg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3862,362,3500,19
Wiktionary edits (st),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2312,190,2122,18
Wikiquote edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3097,316,2781,13
Wikiquote edits (as),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3912,325,3587,10
Wikipedia talk (cy),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",2233,,,9
Wikipedia talk (oc),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",3144,,,6
Wikibooks edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3873,343,3530,14
Wiktionary edits (am),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1878,259,1619,13
Wikipedia edits (ve),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2134,543,1591,12
Wikipedia edits (ki),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3382,559,2823,13
Wikibooks edits (bn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5688,400,5288,12
Wikiquote edits (te),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3795,468,3327,12
Wikipedia edits (ti),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2174,584,1590,13
Pretty Good Privacy,"['Online contact network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Only the largest connected component of the original data is included']",10680,,,24
Wiktionary edits (si),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3016,232,2784,16
Wikibooks edits (simple),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3253,635,2618,11
Wikibooks edits (ml),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3955,783,3172,12
Wikipedia edits (ak),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2872,837,2035,17
Wikiquote edits (gu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2649,963,1686,15
